# Effect of Beet necrotic yellow vein virus on aerial and root biomass of two beet cultivars;;;;;;;
"# 1 Experiment seasons:  (1) 14/05/17  to 22/08/17; (2) 09/09/17 to 05/12/17";;;;;;;
# 2 Beet Genotypes: (1) Boro, (2) Bohan;;;;;;;
# 3 Treatments (1) non-inoculated, (2) inoculated;;;;;;;
# 4 Pots (repetitions) per treatment n=8 ;;;;;;;
# 5 Plants/plot (subsamples) i=3;;;;;;;
# 6 Aerial Fresh plant biomass;;;;;;;
# 7 Aerial dry plant biomass;;;;;;;
# 8 Root biomass;;;;;;;
;;;;;;;
exp;geno;trt;pot;pl;freshm;drym;root
1;1;1;1;1;48,7;3,5;33,65
1;1;1;1;2;125,51;9,37;230,99
1;1;1;1;3;53,28;4,36;140,92
1;1;1;2;1;16,84;2;95,21
1;1;1;2;2;50,45;3,33;77
1;1;1;2;3;37,56;2,58;79,41
1;1;1;3;1;82,23;7,46;171,02
1;1;1;3;2;52,55;3,6;99,95
1;1;1;3;3;37,3;2,64;84,27
1;1;1;4;1;76,71;5,31;186,2
1;1;1;4;2;31,92;2,4;89,99
1;1;1;4;3;34,25;2,13;114,47
1;1;1;5;1;61,71;5,11;114,4
1;1;1;5;2;76,1;12,67;196,77
1;1;1;5;3;89,73;10,15;116,27
1;1;1;6;1;38;3,3;123,04
1;1;1;6;2;39,04;2,43;28,78
1;1;1;6;3;54,75;4,16;148,7
1;1;1;7;1;39,02;4,41;249,83
1;1;1;7;2;137,14;10,38;228,98
1;1;1;7;3;49,68;4,11;85,08
1;1;1;8;1;26;2,97;147,86
1;1;1;8;2;43,01;3,92;160,37
1;1;1;8;3;49,43;4,45;141,45
1;1;2;1;1;72,2;4,94;68,43
1;1;2;1;2;90,82;5,45;13,67
1;1;2;1;3;45,69;3,07;34,71
1;1;2;2;1;27,76;1,78;9,52
1;1;2;2;2;2,69;0,19;.
1;1;2;2;3;.;.;.
1;1;2;3;1;56,24;4,27;46,1
1;1;2;3;2;82,16;6,12;51,41
1;1;2;3;3;75,63;6,67;171,21
1;1;2;4;1;36,91;2,47;16,78
1;1;2;4;2;29,77;2,76;124,35
1;1;2;4;3;86,67;6,6;164,34
1;1;2;5;1;42,58;3,58;87,13
1;1;2;5;2;30,79;2,35;64,43
1;1;2;5;3;24,29;2,07;39,53
1;1;2;6;1;0,23;0,02;.
1;1;2;6;2;59,56;4,75;96,22
1;1;2;6;3;.;.;.
1;1;2;7;1;31,35;2,7;73,71
1;1;2;7;2;47,7;3,86;113,04
1;1;2;7;3;14,61;1,11;107,8
1;1;2;8;1;66,86;4,16;67,29
1;1;2;8;2;44,19;3,55;105,09
1;1;2;8;3;52,51;3,61;166,55
1;2;1;1;1;61,36;5,54;129,26
1;2;1;1;2;36,46;3,24;117,47
1;2;1;1;3;70,61;6,49;144,78
1;2;1;2;1;48,38;2,7;22,86
1;2;1;2;2;19,76;0,94;14,16
1;2;1;2;3;32,11;1,66;4,26
1;2;1;3;1;45,03;3,49;72,99
1;2;1;3;2;120,42;9,5;187,38
1;2;1;3;3;44,37;3,53;58,38
1;2;1;4;1;143,2;10,35;159,14
1;2;1;4;2;21,95;0,97;6,54
1;2;1;4;3;59,48;3,29;30,54
1;2;1;5;1;47,1;3,84;136,04
1;2;1;5;2;48,57;3,35;43,61
1;2;1;5;3;76,87;6,17;142,74
1;2;1;6;1;71,4;5,11;72,81
1;2;1;6;2;82,43;6,42;217,29
1;2;1;6;3;69,64;7,81;223,01
1;2;1;7;1;3,34;0,22;1,22
1;2;1;7;2;120,68;9,8;216,48
1;2;1;7;3;1,03;0,01;0,93
1;2;1;8;1;150,48;13,34;294,82
1;2;1;8;2;83,31;6,51;94,27
1;2;1;8;3;78,58;6,96;186,94
1;2;2;1;1;65,69;4,82;68,72
1;2;2;1;2;.;.;.
1;2;2;1;3;.;.;.
1;2;2;2;1;64,2;5,31;150,83
1;2;2;2;2;17,05;1,03;6,25
1;2;2;2;3;54,46;4,07;40,13
1;2;2;3;1;135,71;11,7;298,61
1;2;2;3;2;80,98;7,53;202,33
1;2;2;3;3;11,47;0,84;7,54
1;2;2;4;1;6,16;0,06;0,72
1;2;2;4;2;23,47;1,26;7,63
1;2;2;4;3;121,99;9,83;198,61
1;2;2;5;1;37,51;3,11;81,91
1;2;2;5;2;38,08;2,82;52,98
1;2;2;5;3;118,67;10,89;365,43
1;2;2;6;1;76,19;5,95;125,08
1;2;2;6;2;.;.;.
1;2;2;6;3;69,38;6,24;345,63
1;2;2;7;1;69,59;6,66;181,6
1;2;2;7;2;161,52;13,48;126,01
1;2;2;7;3;100,14;6,63;141,65
1;2;2;8;1;79,18;6,1;51,1
1;2;2;8;2;8,8;0,49;1,93
1;2;2;8;3;40,14;2,52;11,07
