provincia_id,provincia,2016,2017,2018
06,Buenos Aires,38758,67786,90551
10,Catamarca,15315,18685,24990
14,Cordoba,44815,45343,60694
18,Corrientes,31723,28096,37474
22,Chaco,27147,28382,38040
26,Chubut,1780,3005,4296
30,Entre Rios,23287,26505,35464
34,Formosa,12091,12911,18427
38,Jujuy,10967,13461,18914
42,La Pampa,3817,4787,7758
46,La Rioja,6303,6328,9951
50,Mendoza,13145,20192,27422
54,Misiones,39271,39271,52336
58,Neuquen,1883,4427,6545
62,Rio Negro,4413,8017,10854
66,Salta,15118,17632,23833
70,San Juan,12440,13035,17811
74,San Luis,3400,4104,6825
78,Santa Cruz,990,1747,2606
82,Santa Fe,43333,44057,58837
86,Santiago del Estero,6937,13996,19970
94,Tierra del Fuego,382,833,1171
90,Tucuman,35151,37133,49749
