trt,hibr,ph,planta,altura,ps,p,zn,nit,fe,spad
control,1,neutro,1,154,60.53,236.27129939999998,1.0476861899999999,0.3150478760396039,19.002859859999997,16.9
control,1,neutro,2,215,168.49,277.45620479999997,1.4234081339999998,0.27459601335952843,14.089572899999999,20.07
control,1,neutro,3,265,112.75,177.24638,1.221096318,0.2795046902671755,14.378589779999999,19.95
control,1,neutro,4,268,352.92,210.9823224,1.067228,0.1783705018682399,12.210963179999998,15.63
control,1,neutro,5,221,90.75,324.42144779999995,1.3556679999999999,0.2936025966764418,11.560675199999999,28
control,1,neutro,6,176,167.24,NA,NA,NA,NA,NA
control,1,neutro,7,202,132.98,NA,NA,NA,NA,NA
control,1,neutro,8,152,27.69,NA,NA,NA,NA,NA
control,1,neutro,9,195,184.63,NA,NA,NA,NA,NA
control,1,neutro,10,NA,NA,NA,NA,NA,NA,NA
control,1,alcalino,1,238,109.8,246.16044,1.8768159999999998,0.1442577392120075,20.18172288,8.96
control,1,alcalino,2,258,115.02,253.9915692,1.6250479999999998,0.12568165029469547,17.257666439999998,4.52
control,1,alcalino,3,187,92.08,161.1097764,1.5220520000000002,0.08340542372881354,13.1869212,8.76
control,1,alcalino,4,258,137.16,162.8298096,1.46202822,0.08543263888888888,16.0536432,8.54
control,1,alcalino,5,250.99999999999997,183.15,242.5246812,1.6053643200000003,0.13381370078740157,16.16831208,8.54
control,1,alcalino,6,240,123.31,NA,NA,NA,NA,NA
control,1,alcalino,7,154,69.18,NA,NA,NA,NA,NA
control,1,alcalino,8,252.99999999999997,119.62,NA,NA,NA,NA,NA
control,1,alcalino,9,183,87.82,NA,NA,NA,NA,NA
control,1,alcalino,10,NA,NA,NA,NA,NA,NA,NA
control,2,neutro,1,200,286.96,361.360278,3.3857179199999994,0.24690417042253515,15.626390399999996,15.6
control,2,neutro,2,190,101.71,461.4668415,3.6868514849999996,0.2717276797912713,13.42892925,15.65
control,2,neutro,3,204,217.88,369.49902299999997,4.020540029999999,0.22958055703771849,15.951940199999997,17.15
control,2,neutro,4,227.99999999999997,280.8,397.9846304999999,3.7038599999999997,0.3082664630905511,16.9285896,8.97
control,2,neutro,5,180,128.87,411.48584999999997,3.4764299999999992,0.282708948448905,12.6964422,15.15
control,2,neutro,6,193,141.76,NA,NA,NA,NA,NA
control,2,neutro,7,197,30.52,NA,NA,NA,NA,NA
control,2,neutro,8,227.99999999999997,78.18,NA,NA,NA,NA,NA
control,2,neutro,9,170,195.33,NA,NA,NA,NA,NA
control,2,neutro,10,NA,NA,NA,NA,NA,NA,NA
control,2,alcalino,1,191,74.23,116.94091499999999,1.2309569999999999,0.05842147651006711,6.647167800000001,4.25
control,2,alcalino,2,130,29.68,151.22835,1.208389455,0.04923560311284046,5.436726749999999,3.8
control,2,alcalino,3,162,29.15,131.73615,1.224802215,0.06774816176470588,5.5393065,4.69
